time,temperature_2m,shortwave_radiation,cloudcover
2025-01-07 13:00:00+00:00,15.0,210.0,100
2025-01-07 14:00:00+00:00,15.0,189.0,100
2025-01-07 15:00:00+00:00,14.2,57.0,100
2025-01-07 16:00:00+00:00,13.4,2.0,100
2025-01-07 17:00:00+00:00,13.3,0.0,100
2025-01-07 18:00:00+00:00,12.8,0.0,92
2025-01-07 19:00:00+00:00,12.2,0.0,100
2025-01-07 20:00:00+00:00,12.0,0.0,100
2025-01-07 21:00:00+00:00,11.8,0.0,100
2025-01-07 22:00:00+00:00,11.5,0.0,100
2025-01-07 23:00:00+00:00,11.3,0.0,100
2025-01-08 00:00:00+00:00,11.3,0.0,100
2025-01-08 01:00:00+00:00,11.6,0.0,63
2025-01-08 02:00:00+00:00,11.3,0.0,94
2025-01-08 03:00:00+00:00,11.0,0.0,98
2025-01-08 04:00:00+00:00,11.5,0.0,100
2025-01-08 05:00:00+00:00,11.8,0.0,99
2025-01-08 06:00:00+00:00,11.8,2.0,100
2025-01-08 07:00:00+00:00,12.5,61.0,100
2025-01-08 08:00:00+00:00,14.1,174.0,40
2025-01-08 09:00:00+00:00,15.3,326.0,28
2025-01-08 10:00:00+00:00,16.0,403.0,47
2025-01-08 11:00:00+00:00,16.4,446.0,99
2025-01-08 12:00:00+00:00,16.5,413.0,100
2025-01-08 13:00:00+00:00,16.3,299.0,100
2025-01-08 14:00:00+00:00,15.9,162.0,79
2025-01-08 15:00:00+00:00,15.0,83.0,100
2025-01-08 16:00:00+00:00,14.3,3.0,100
2025-01-08 17:00:00+00:00,14.1,0.0,98
2025-01-08 18:00:00+00:00,13.9,0.0,100
2025-01-08 19:00:00+00:00,13.7,0.0,13
2025-01-08 20:00:00+00:00,13.0,0.0,71
2025-01-08 21:00:00+00:00,12.3,0.0,100
2025-01-08 22:00:00+00:00,11.6,0.0,100
2025-01-08 23:00:00+00:00,11.0,0.0,100
2025-01-09 00:00:00+00:00,10.7,0.0,100
2025-01-09 01:00:00+00:00,10.7,0.0,100
2025-01-09 02:00:00+00:00,10.7,0.0,100
2025-01-09 03:00:00+00:00,10.4,0.0,100
2025-01-09 04:00:00+00:00,10.0,0.0,100
2025-01-09 05:00:00+00:00,10.2,0.0,100
2025-01-09 06:00:00+00:00,10.2,2.0,100
2025-01-09 07:00:00+00:00,11.3,60.0,88
2025-01-09 08:00:00+00:00,13.0,173.0,95
2025-01-09 09:00:00+00:00,14.4,349.0,41
2025-01-09 10:00:00+00:00,15.0,437.0,10
2025-01-09 11:00:00+00:00,15.5,471.0,5
2025-01-09 12:00:00+00:00,15.7,446.0,4
2025-01-09 13:00:00+00:00,16.6,360.0,10
2025-01-09 14:00:00+00:00,16.2,232.0,6
2025-01-09 15:00:00+00:00,15.3,93.0,8
2025-01-09 16:00:00+00:00,13.9,4.0,5
2025-01-09 17:00:00+00:00,13.4,0.0,4
2025-01-09 18:00:00+00:00,13.1,0.0,11
2025-01-09 19:00:00+00:00,12.6,0.0,21
2025-01-09 20:00:00+00:00,12.2,0.0,30
2025-01-09 21:00:00+00:00,11.8,0.0,36
2025-01-09 22:00:00+00:00,11.4,0.0,37
2025-01-09 23:00:00+00:00,10.8,0.0,30
2025-01-10 00:00:00+00:00,10.3,0.0,22
2025-01-10 01:00:00+00:00,9.9,0.0,99
2025-01-10 02:00:00+00:00,9.7,0.0,100
2025-01-10 03:00:00+00:00,9.5,0.0,99
2025-01-10 04:00:00+00:00,9.7,0.0,73
2025-01-10 05:00:00+00:00,9.6,0.0,47
2025-01-10 06:00:00+00:00,9.9,2.0,33
2025-01-10 07:00:00+00:00,11.3,81.0,1
2025-01-10 08:00:00+00:00,12.5,232.0,1
2025-01-10 09:00:00+00:00,13.5,361.0,3
2025-01-10 10:00:00+00:00,14.4,451.0,3
2025-01-10 11:00:00+00:00,15.4,481.0,4
2025-01-10 12:00:00+00:00,15.9,457.0,30
2025-01-10 13:00:00+00:00,16.6,380.0,1
2025-01-10 14:00:00+00:00,16.2,251.0,1
2025-01-10 15:00:00+00:00,15.1,98.0,11
2025-01-10 16:00:00+00:00,14.0,4.0,19
2025-01-10 17:00:00+00:00,13.4,0.0,23
2025-01-10 18:00:00+00:00,12.8,0.0,97
2025-01-10 19:00:00+00:00,12.6,0.0,97
2025-01-10 20:00:00+00:00,12.0,0.0,1
2025-01-10 21:00:00+00:00,11.7,0.0,0
2025-01-10 22:00:00+00:00,11.4,0.0,15
2025-01-10 23:00:00+00:00,11.4,0.0,100
2025-01-11 00:00:00+00:00,10.7,0.0,81
2025-01-11 01:00:00+00:00,11.3,0.0,33
2025-01-11 02:00:00+00:00,10.6,0.0,78
2025-01-11 03:00:00+00:00,10.1,0.0,92
2025-01-11 04:00:00+00:00,9.9,0.0,99
2025-01-11 05:00:00+00:00,9.7,0.0,98
2025-01-11 06:00:00+00:00,10.0,2.0,100
2025-01-11 07:00:00+00:00,11.5,76.0,88
2025-01-11 08:00:00+00:00,12.5,212.0,100
2025-01-11 09:00:00+00:00,13.4,318.0,100
2025-01-11 10:00:00+00:00,13.7,274.0,100
2025-01-11 11:00:00+00:00,14.4,353.0,100
2025-01-11 12:00:00+00:00,15.2,407.0,100
2025-01-11 13:00:00+00:00,15.6,207.0,100
2025-01-11 14:00:00+00:00,15.6,219.0,100
2025-01-11 15:00:00+00:00,14.9,82.0,26
2025-01-11 16:00:00+00:00,14.0,4.0,33
2025-01-11 17:00:00+00:00,13.2,0.0,81
2025-01-11 18:00:00+00:00,13.1,0.0,7
2025-01-11 19:00:00+00:00,12.5,0.0,7
2025-01-11 20:00:00+00:00,11.8,0.0,7
2025-01-11 21:00:00+00:00,11.5,0.0,4
2025-01-11 22:00:00+00:00,11.4,0.0,9
2025-01-11 23:00:00+00:00,11.2,0.0,42
2025-01-12 00:00:00+00:00,11.1,0.0,28
2025-01-12 01:00:00+00:00,11.7,0.0,60
2025-01-12 02:00:00+00:00,11.7,0.0,79
2025-01-12 03:00:00+00:00,11.8,0.0,84
2025-01-12 04:00:00+00:00,11.5,0.0,68
2025-01-12 05:00:00+00:00,11.1,0.0,45
2025-01-12 06:00:00+00:00,11.2,2.0,5
2025-01-12 07:00:00+00:00,13.0,86.0,10
2025-01-12 08:00:00+00:00,14.5,234.0,30
2025-01-12 09:00:00+00:00,15.5,366.0,38
2025-01-12 10:00:00+00:00,16.4,452.0,2
2025-01-12 11:00:00+00:00,16.9,490.0,0
2025-01-12 12:00:00+00:00,17.2,464.0,2
2025-01-12 13:00:00+00:00,17.4,365.0,21
2025-01-12 14:00:00+00:00,16.1,215.0,33
2025-01-12 15:00:00+00:00,15.2,83.0,67
2025-01-12 16:00:00+00:00,13.5,4.0,98
2025-01-12 17:00:00+00:00,13.0,0.0,99
2025-01-12 18:00:00+00:00,12.7,0.0,100
2025-01-12 19:00:00+00:00,12.1,0.0,100
2025-01-12 20:00:00+00:00,11.5,0.0,92
2025-01-12 21:00:00+00:00,10.8,0.0,94
2025-01-12 22:00:00+00:00,10.2,0.0,100
2025-01-12 23:00:00+00:00,10.1,0.0,100
2025-01-13 00:00:00+00:00,9.6,0.0,100
2025-01-13 01:00:00+00:00,9.0,0.0,100
2025-01-13 02:00:00+00:00,8.8,0.0,100
2025-01-13 03:00:00+00:00,8.6,0.0,100
2025-01-13 04:00:00+00:00,8.3,0.0,100
2025-01-13 05:00:00+00:00,8.4,0.0,99
2025-01-13 06:00:00+00:00,8.5,1.0,100
2025-01-13 07:00:00+00:00,8.9,32.0,100
2025-01-13 08:00:00+00:00,9.3,57.0,100
2025-01-13 09:00:00+00:00,9.4,77.0,100
2025-01-13 10:00:00+00:00,9.8,122.0,100
2025-01-13 11:00:00+00:00,10.0,105.0,100
2025-01-13 12:00:00+00:00,9.7,87.0,100
2025-01-13 13:00:00+00:00,7.4,63.0,99
2025-01-13 14:00:00+00:00,7.5,62.0,96
2025-01-13 15:00:00+00:00,7.3,39.0,81
2025-01-13 16:00:00+00:00,7.0,4.0,100
2025-01-13 17:00:00+00:00,7.2,0.0,100
2025-01-13 18:00:00+00:00,7.3,0.0,100
2025-01-13 19:00:00+00:00,7.2,0.0,99
2025-01-13 20:00:00+00:00,6.9,0.0,100
2025-01-13 21:00:00+00:00,6.8,0.0,100
2025-01-13 22:00:00+00:00,7.1,0.0,100
2025-01-13 23:00:00+00:00,7.0,0.0,100
2025-01-14 00:00:00+00:00,7.0,0.0,100
2025-01-14 01:00:00+00:00,6.3,0.0,100
2025-01-14 02:00:00+00:00,6.4,0.0,100
2025-01-14 03:00:00+00:00,6.6,0.0,100
2025-01-14 04:00:00+00:00,7.1,0.0,100
2025-01-14 05:00:00+00:00,7.4,0.0,100
2025-01-14 06:00:00+00:00,7.9,1.0,100
2025-01-14 07:00:00+00:00,8.4,23.0,100
2025-01-14 08:00:00+00:00,8.8,74.0,100
2025-01-14 09:00:00+00:00,9.0,88.0,100
2025-01-14 10:00:00+00:00,8.6,83.0,100
2025-01-14 11:00:00+00:00,8.7,81.0,100
2025-01-14 12:00:00+00:00,8.6,98.0,100
2025-01-14 13:00:00+00:00,6.3,30.0,100
2025-01-14 14:00:00+00:00,6.0,18.0,100
2025-01-14 15:00:00+00:00,5.5,19.0,100
2025-01-14 16:00:00+00:00,5.6,2.0,100
